Baltimore Classification	Type	Genome Info	Family	Genus	Species	Organism Name	Organism Groups	Assembly	Level	Size(Mb)	GC%	Host	CDS	Neighbors	Release Date	RefSeq FTP	Type	Reference Source Information	Observation																																																																																																																																																																																																																																												
IV	(+)ssRNA	Monopartite	Astroviridae	Mamastrovirus	Mamastrovirus 1	Mamastrovirus 1	Viruses;Other;Astroviridae	GCA_001736695.1	Complete	0.006673	44.6	"human,vertebrates"	2	41	2008-01-05T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/736/695/GCF_001736695.1_ViralProj343484																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Astroviridae	Mamastrovirus	Mamastrovirus 8	Mamastrovirus 8	Viruses;Other;Astroviridae	GCA_000884395.1	Complete	0.006534	43.5	human	3	1	2009-10-24T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/884/395/GCF_000884395.1_ViralProj41413																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Astroviridae	NA	Astrovirus MLB1	Astrovirus MLB1	Viruses;Other;Astroviridae	GCA_000880715.1	Complete	0.006171	40.9	human	3	6	2008-10-21T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/880/715/GCF_000880715.1_ViralProj32327																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Astroviridae	NA	Astrovirus MLB2	Astrovirus MLB2	Viruses;Other;Astroviridae	GCA_000895575.1	Complete	0.006119	40.5	human	3	2	2011-11-05T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/895/575/GCF_000895575.1_ViralProj76723																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Astroviridae	NA	Astrovirus MLB3	Astrovirus MLB3	Viruses;Other;Astroviridae	GCA_000899535.1	Complete	0.006124	40	human	3		2012-10-31T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/899/535/GCF_000899535.1_ViralProj178563																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Astroviridae	NA	Astrovirus VA1	Astrovirus VA1	Viruses;Other;Astroviridae	GCA_000885815.1	Complete	0.006586	41.9	"human,vertebrates"	3	3	2009-08-04T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/885/815/GCF_000885815.1_ViralProj39811																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Astroviridae	NA	Astrovirus VA3	Astrovirus VA3	Viruses;Other;Astroviridae	GCA_000901475.1	Complete	0.006581	41.8	human	3		2012-10-31T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/901/475/GCF_000901475.1_ViralProj178564																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Astroviridae	NA	Astrovirus VA4	Astrovirus VA4	Viruses;Other;Astroviridae	GCA_000897955.1	Complete	0.006518	43	human	3		2012-10-31T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/897/955/GCF_000897955.1_ViralProj178562																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Astroviridae	NA	Bastrovirus 7	Bastrovirus 7	Viruses;Other;Astroviridae	GCA_002285025.1	Complete	0.006339	58.4	human	3		2016-02-13T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/285/025/GCF_002285025.1_ViralProj401021																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Astroviridae	NA	Human astrovirus 1	Human astrovirus 1	Viruses;Other;Astroviridae	GCA_000861865.1	Complete	0.006813	44.8	"human,vertebrates"	2	13	1993-11-01T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/861/865/GCF_000861865.1_ViralProj15436	Reference	ViralZone																																																																																																																																																																																																																																													
